Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,TimeDelay,Efficiency
600,20,0.001,0.001,0.001,3e-05,16,0.001739749,0.000532814,1.388899997,0.44007188,0.374476293,93.74072073
700,30,0.002,0.001,0.001,3e-05,16,0.001672673,0.000491692,1.274164095,0.40139675,0.143697039,92.4741003
1000,30,0.002,0.001,0.001,3e-05,12,0.001666304,0.000475368,1.261678587,0.40374979,0.212852774,91.69325295
400,25,0.005,0.005,0.0007,4e-05,10,0.002162661,0.000634378,1.740193477,0.563819581,0.5724306,93.11972548
600,35,0.005,0.005,0.0007,3e-05,16,0.002305852,0.000698341,1.813450319,0.571735547,0.143697039,92.89217149
600,30,0.002,0.005,0.001,4e-05,16,0.001652676,0.000489536,1.268936283,0.400207504,0.143697039,92.90736115
1000,30,0.002,0.001,0.0007,4e-05,2,0.002311573,0.00110518,1.84205058,0.920942269,0.813451123,87.5999665
600,25,0.001,0.002,0.001,4e-05,4,0.001021084,0.000341698,0.847958521,0.31524262,0.893443325,2.75191755
900,40,0.005,0.001,0.001,4e-05,10,0.001603331,0.000450479,1.233553832,0.399090236,0.5724306,92.19587494
500,25,0.002,0.001,0.0007,3e-05,16,0.002438705,0.000759377,1.980215085,0.627502146,0.374476293,93.82139577
1000,30,0.005,0.005,0.001,3e-05,10,0.001610018,0.000450902,1.234402089,0.399604436,0.5724306,92.01468871
700,35,0.005,0.002,0.0007,3e-05,8,0.002087115,0.000586513,1.681916327,0.552285667,0.351402273,91.88689386
900,15,0.001,0.002,0.001,3e-05,10,0.00160327,0.000450298,1.233081368,0.399072608,0.5724306,92.26675289
600,20,0.005,0.002,0.0007,3e-05,12,0.002258407,0.000670701,1.784476517,0.571758098,0.212852774,92.82210554
700,25,0.005,0.005,0.001,3e-05,8,0.001481556,0.000410718,1.176934428,0.386541558,0.351402273,92.39986096
800,40,0.002,0.002,0.0007,4e-05,2,0.002296446,0.001104582,1.84132445,0.920599523,0.813451123,88.26356837
900,35,0.005,0.001,0.0007,3e-05,4,0.001411844,0.000473643,1.172656084,0.441746609,0.893443325,1.661731846
900,35,0.005,0.002,0.0007,3e-05,8,0.002085304,0.000587106,1.684425325,0.552895725,0.351402273,64.16139886
800,20,0.001,0.005,0.001,4e-05,12,0.001643626,0.000472556,1.254424746,0.40209368,0.212852774,92.26464689
600,20,0.005,0.001,0.0007,3e-05,32,0.002581733,0.000778797,2.047352884,0.624035822,0.068000629,93.21716668
500,15,0.001,0.002,0.001,3e-05,10,0.0015551,0.000445836,1.222184182,0.395784972,0.5724306,93.1429366
400,25,0.005,0.001,0.001,4e-05,16,0.001709073,0.000530339,1.382500612,0.438294807,0.374476293,93.83133086
800,15,0.005,0.001,0.001,3e-05,12,0.001645408,0.000473077,1.256269133,0.402177158,0.212852774,92.18582391
500,25,0.001,0.005,0.001,3e-05,4,0.001028176,0.000343983,0.853824854,0.316758632,0.893443325,35.20062272
900,25,0.005,0.002,0.0007,4e-05,16,0.002358729,0.000704297,1.828219979,0.576208813,0.145569106,91.64844182
800,25,0.005,0.002,0.001,4e-05,10,0.001593058,0.000449268,1.230307028,0.398336897,0.5724306,92.40848712
1000,20,0.002,0.005,0.0007,3e-05,8,0.0020778,0.000586405,1.682296986,0.552308598,0.351402273,40.69824615
500,35,0.005,0.005,0.0007,4e-05,10,0.002182056,0.000636232,1.745029827,0.565336239,0.5724306,92.94885414
500,40,0.005,0.005,0.0007,4e-05,12,0.002237379,0.000668378,1.778252526,0.570130088,0.212852774,93.1734949
600,25,0.005,0.001,0.001,4e-05,4,0.001014758,0.000339681,0.842722134,0.313941826,0.893443325,2.528713894
