Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc_star
400.0,40.0,0.001,0.001,0.001,4e-05,10.484848484848484
700.0,35.0,0.002,0.005,0.001,4e-05,18.96969696969697
1000.0,20.0,0.002,0.005,0.001,4e-05,25.333333333333336
400.0,35.0,0.001,0.001,0.0007,4e-05,12.90909090909091
900.0,25.0,0.005,0.002,0.0007,3e-05,9.575757575757576
500.0,35.0,0.001,0.002,0.0007,4e-05,14.121212121212121
700.0,30.0,0.001,0.005,0.001,4e-05,18.363636363636363
500.0,35.0,0.002,0.002,0.001,3e-05,15.333333333333334
800.0,35.0,0.002,0.001,0.0007,4e-05,11.393939393939394
600.0,25.0,0.001,0.005,0.001,3e-05,26.848484848484848
900.0,15.0,0.005,0.005,0.001,3e-05,23.21212121212121
700.0,25.0,0.001,0.005,0.001,3e-05,18.060606060606062
800.0,15.0,0.001,0.005,0.0007,3e-05,9.575757575757576
400.0,30.0,0.001,0.002,0.001,3e-05,14.424242424242424
700.0,15.0,0.001,0.005,0.0007,4e-05,11.393939393939394
900.0,25.0,0.002,0.001,0.0007,3e-05,9.575757575757576
900.0,30.0,0.001,0.005,0.0007,4e-05,9.575757575757576
900.0,25.0,0.005,0.005,0.001,3e-05,23.21212121212121
800.0,15.0,0.002,0.001,0.001,4e-05,8.969696969696969
500.0,25.0,0.005,0.005,0.001,3e-05,32.0
700.0,20.0,0.002,0.001,0.001,3e-05,10.181818181818182
400.0,40.0,0.002,0.005,0.001,3e-05,15.333333333333334
700.0,15.0,0.002,0.005,0.0007,3e-05,10.787878787878789
700.0,40.0,0.001,0.005,0.0007,4e-05,12.90909090909091
400.0,35.0,0.001,0.001,0.001,3e-05,32.0
500.0,20.0,0.001,0.005,0.001,3e-05,15.636363636363637
900.0,40.0,0.005,0.001,0.001,4e-05,9.272727272727273
600.0,20.0,0.002,0.001,0.001,3e-05,15.636363636363637
700.0,40.0,0.002,0.005,0.0007,3e-05,10.787878787878789
400.0,20.0,0.005,0.001,0.001,3e-05,32.0
900.0,25.0,0.001,0.001,0.001,3e-05,9.272727272727273
600.0,20.0,0.001,0.005,0.0007,4e-05,32.0
900.0,35.0,0.002,0.001,0.0007,4e-05,9.575757575757576
700.0,35.0,0.001,0.002,0.0007,4e-05,11.393939393939394
500.0,15.0,0.002,0.001,0.001,3e-05,15.030303030303031
700.0,25.0,0.005,0.002,0.001,4e-05,28.96969696969697
500.0,35.0,0.002,0.005,0.0007,4e-05,16.242424242424242
900.0,30.0,0.002,0.005,0.0007,4e-05,9.575757575757576
700.0,20.0,0.002,0.002,0.0007,3e-05,11.393939393939394
400.0,30.0,0.001,0.005,0.001,3e-05,15.030303030303031
500.0,15.0,0.005,0.002,0.001,3e-05,15.030303030303031
800.0,25.0,0.001,0.002,0.001,3e-05,8.969696969696969
800.0,25.0,0.005,0.001,0.0007,3e-05,9.575757575757576
600.0,35.0,0.002,0.001,0.0007,4e-05,17.151515151515152
700.0,40.0,0.001,0.002,0.0007,4e-05,11.393939393939394
800.0,30.0,0.001,0.005,0.0007,3e-05,9.575757575757576
800.0,30.0,0.001,0.002,0.001,3e-05,8.969696969696969
1000.0,40.0,0.005,0.002,0.001,3e-05,24.727272727272727
1000.0,35.0,0.002,0.002,0.0007,4e-05,10.484848484848484
500.0,25.0,0.002,0.002,0.0007,4e-05,19.272727272727273
400.0,15.0,0.001,0.005,0.001,3e-05,15.030303030303031
500.0,25.0,0.005,0.005,0.0007,4e-05,17.454545454545453
800.0,30.0,0.005,0.005,0.0007,3e-05,9.575757575757576
500.0,30.0,0.002,0.002,0.0007,3e-05,19.272727272727273
900.0,20.0,0.001,0.002,0.001,3e-05,8.969696969696969
400.0,20.0,0.002,0.001,0.001,4e-05,32.0
1000.0,15.0,0.001,0.005,0.0007,3e-05,9.575757575757576
700.0,30.0,0.001,0.005,0.001,3e-05,18.363636363636363
600.0,30.0,0.002,0.002,0.001,4e-05,28.060606060606062
600.0,30.0,0.005,0.005,0.0007,3e-05,32.0
800.0,15.0,0.002,0.005,0.001,4e-05,20.181818181818183
500.0,15.0,0.001,0.005,0.001,3e-05,15.636363636363637
800.0,35.0,0.005,0.002,0.0007,4e-05,9.575757575757576
800.0,15.0,0.005,0.005,0.001,3e-05,21.6969696969697
500.0,15.0,0.005,0.002,0.001,3e-05,15.030303030303031
1000.0,15.0,0.001,0.001,0.0007,3e-05,10.787878787878789
700.0,25.0,0.002,0.005,0.001,4e-05,18.96969696969697
800.0,20.0,0.002,0.002,0.0007,3e-05,11.696969696969697
700.0,20.0,0.005,0.005,0.0007,3e-05,9.575757575757576
600.0,25.0,0.002,0.005,0.0007,3e-05,32.0
800.0,15.0,0.001,0.002,0.0007,4e-05,11.393939393939394
400.0,40.0,0.001,0.005,0.0007,3e-05,14.121212121212121
900.0,20.0,0.005,0.001,0.0007,4e-05,9.575757575757576
1000.0,30.0,0.001,0.001,0.0007,3e-05,10.787878787878789
900.0,40.0,0.005,0.005,0.001,4e-05,23.515151515151516
600.0,15.0,0.001,0.002,0.0007,4e-05,17.151515151515152
600.0,35.0,0.001,0.001,0.0007,4e-05,18.363636363636363
800.0,40.0,0.001,0.002,0.0007,3e-05,11.696969696969697
900.0,35.0,0.001,0.005,0.0007,4e-05,9.575757575757576
500.0,40.0,0.005,0.001,0.001,4e-05,15.636363636363637
500.0,25.0,0.001,0.002,0.0007,4e-05,14.121212121212121
400.0,20.0,0.001,0.005,0.001,3e-05,15.030303030303031
800.0,20.0,0.002,0.005,0.0007,4e-05,9.575757575757576
1000.0,30.0,0.001,0.001,0.001,3e-05,10.181818181818182
1000.0,20.0,0.005,0.002,0.001,3e-05,24.727272727272727
800.0,30.0,0.001,0.001,0.001,4e-05,8.969696969696969
1000.0,20.0,0.002,0.001,0.001,3e-05,21.393939393939394
1000.0,15.0,0.001,0.002,0.001,4e-05,10.181818181818182
700.0,35.0,0.005,0.001,0.001,4e-05,29.575757575757578
400.0,30.0,0.005,0.005,0.001,4e-05,32.0
1000.0,40.0,0.002,0.001,0.001,4e-05,10.181818181818182
700.0,15.0,0.001,0.001,0.0007,4e-05,10.787878787878789
400.0,25.0,0.005,0.001,0.001,3e-05,32.0
700.0,40.0,0.005,0.005,0.0007,4e-05,9.575757575757576
900.0,15.0,0.005,0.001,0.0007,3e-05,9.575757575757576
600.0,40.0,0.002,0.002,0.001,4e-05,28.060606060606062
500.0,15.0,0.001,0.001,0.001,4e-05,14.727272727272728
